Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,2736
design__instance__area,29318.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,36
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.003302820725366473
power__switching__total,0.0011404254473745823
power__leakage__total,3.5325061986668516E-8
power__total,0.004443281330168247
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2738797322008762
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.447067534535431
timing__hold__ws__corner:nom_tt_025C_1v80,0.3282282316622515
timing__setup__ws__corner:nom_tt_025C_1v80,6.4395690602594655
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.328228
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.439569
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,11
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,36
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2858734163639551
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.5945787364085106
timing__hold__ws__corner:nom_ss_100C_1v60,0.8890995968891106
timing__setup__ws__corner:nom_ss_100C_1v60,2.639827986480592
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.889100
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.639828
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,36
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26739103354994154
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3846051364025598
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12126339164927964
timing__setup__ws__corner:nom_ff_n40C_1v95,6.8642466986684765
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.121263
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.728669
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,11
design__max_fanout_violation__count,36
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26494704402556224
clock__skew__worst_setup,0.3816046198157718
timing__hold__ws,0.1175130581660292
timing__setup__ws,2.5760683204623325
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117513
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.576068
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 218.65 229.37
design__core__bbox,5.52 10.88 212.98 217.6
design__io,138
design__die__area,50151.8
design__core__area,42886.1
design__instance__count__stdcell,2736
design__instance__area__stdcell,29318.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.683627
design__instance__utilization__stdcell,0.683627
design__instance__count__class:inverter,9
design__instance__count__class:sequential_cell,513
design__instance__count__class:multi_input_combinational_cell,759
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2238
design__instance__count__class:tap_cell,585
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,136
design__io__hpwl,5918147
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,45022.5
design__violations,0
design__instance__count__class:timing_repair_buffer,783
design__instance__count__class:clock_buffer,59
design__instance__count__class:clock_inverter,28
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,511
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2213
route__net__special,2
route__drc_errors__iter:1,718
route__wirelength__iter:1,53483
route__drc_errors__iter:2,173
route__wirelength__iter:2,53061
route__drc_errors__iter:3,126
route__wirelength__iter:3,52841
route__drc_errors__iter:4,0
route__wirelength__iter:4,52758
route__drc_errors,0
route__wirelength,52758
route__vias,14037
route__vias__singlecut,14037
route__vias__multicut,0
design__disconnected_pin__count,10
design__critical_disconnected_pin__count,0
route__wirelength__max,500.47
timing__unannotated_net__count__corner:nom_tt_025C_1v80,50
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,50
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,50
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,36
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2705215295010136
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.44280128039804606
timing__hold__ws__corner:min_tt_025C_1v80,0.32297831989722886
timing__setup__ws__corner:min_tt_025C_1v80,6.4673290775523
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.322978
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
